,index,title,rank,date,artist,url,region,chart,trend,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrics
0,0,Chantaje (feat. Maluma),1,2017-01-01,Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Argentina,top200,SAME_POSITION,253019.0,0.852,0.773,8.0,-2.921,0.0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840.0,"Chantaje Lyrics

(Rudeboyz)

Cuando estás bien, te alejas de mí
Te sientes sola y siempre 'toy ahí
Es una guerra de toma y dame
Pues dame de eso que tiene' ahí
Oye, baby, no seas mala (Oh, no)
No me dejes con la' gana'
Se escucha en la calle que ya no me quieres
Ven y dímelo en la cara

Pregúntale a quien tú quieras
Vida, te juro que eso no es así
Yo nunca tuve una mala intención
Yo nunca quise burlarme de ti
Conmigo ves, nunca se sabe
Un día digo que no y otro que sí
Yo soy masoquista
Con mi cuerpo, un egoísta
Tú eres puro, puro chantaje
Puro, puro chantaje
Siempre es a tu manera
Yo te quiero aunque no quiera
Tú eres puro, puro chantaje
Puro, puro chantaje
Vas libre como el aire
No soy de ti ni de nadie

Como tú me tientas, cuando tú te mueves
Esos movimientos sexys, siempre me entretienen
Sabes manipularme bien con tus caderas
No sé por qué me tienes en lista de espera
Te dicen por ahí que voy haciendo y deshaciendo
Que salgo cada noche, que te tengo ahí sufriendo
Que en esta relación soy yo la que manda
No pares bola' a toda esa mala propaganda

Pa', pa' que te digo na', te comen el oído
No vaya a enderezar lo que no se ha torcido
Y como un loco sigo tras de ti, muriendo por ti
Dime qué hay pa' mí, bebé (¿Qué?)
Pregúntale a quien tú quieras
Vida, te juro que eso no es así
Yo nunca tuve una mala intención
Yo nunca quise burlarme de ti
Conmigo ves, nunca se sabe
Un día digo que no, y otro que sí
Yo soy masoquista
Con mi cuerpo, un egoísta

Tú eres puro, puro chantaje
Puro, puro chantaje
Siempre es a tu manera
Yo te quiero aunque no quiera
Tú eres puro, puro chantaje
Puro, puro chantaje
Vas libre como el aire
No soy de ti ni de nadie

Eh-eh-eh, nadie
Eh-eh-eh, nadie
Eh-eh-eh, nadie
Con mi cuerpo, un egoísta
Tú eres puro, puro chantaje
Puro, puro chantaje
Siempre es a tu manera
Yo te quiero aunque no quiera
Tú eres puro, puro chantaje
Puro, puro chantaje
Vas libre como el aire
No soy de ti ni de nadie

Eh-eh-eh, nadie
Eh-eh-eh, nadie
Eh-eh-eh, nadie
Eh-eh-eh-eh-eh-eh

(Alright, alright, baby, Shakira, Maluma)
Pretty boy
(You're my baby loba, Colombia, Rudeboyz, you feel me?)
Pretty boy29Embed"
1,1,Vente Pa' Ca (feat. Maluma),2,2017-01-01,Ricky Martin,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,Argentina,top200,MOVE_UP,223988.0,0.663,0.92,11.0,-4.07,0.0,0.226,0.00431,1.69e-05,0.101,0.533,99.935,259196.0,"Vente Pa’ Ca Lyrics

Ven, te cuento de una vez
Tu descanso está en la cama de mis pies
Ven, te cuento un, dos, tres
Mis pasitos son descalzos, sin estrés

Dime si hay otro lugar
Para dejar mi corazón (Mi corazón)
Ay, tienes razón
Mejor, ¿por qué no nos vamos los dos?

Si tú quieres nos bañamos
Si tú quieres nos soplamos
Pa' secarnos lo moja'o
Si tu boca quiere beso
Y tu cuerpo quiere de eso, arreglamos
Si tú quieres un atajo y lo quieres por abajo
Yo te llevo bien calla'o
Vente pa'cá, vente pa'cá, vente pa'cá, ah-auh
Enamorados, qué calor
Nos comimos boca a boca en el sillón
Fue por hambre, fue por sed (Fue por sed)
Me bebiste a fondo blanco con tu piel

Dime si hay otro lugar
Para dejar mi corazón (Mi corazón)
Ay, tienes razón
Mejor, ¿por qué no nos vamos los dos?

Si tú quieres nos bañamos
Si tú quieres nos soplamos
Pa' secarnos lo moja'o
Si tu boca quiere beso
Y tu cuerpo quiere de eso, arreglamos
Si tú quieres un atajo y lo quieres por abajo
Yo te llevo bien calla'o
Vente pa'cá, vente pa'cá, vente pa'cá, ah-auh

(All right, too right, baby)
(Pretty Boy, Dirty Boy, baby)
Como me baila y me seduce
Y cuando le apagan la' luce'
Ella se luce y yo se lo hago otra vez (Otra vez)
Eh-yeh
Llevo tanto tiempo mirando reaccionar (Jajaja)
Dime qué estás esperando baby, no hay demora
Pégate a mí, bien rico a mí
No dejes que pasen las horas (Uh-uh-uh)
Tu booty me arrebata, tu sonrisa me atrapa
Quiero tenerte siempre y no dejarte sola
Esta historia no se acaba, ven, vamo' pa' mi cama
Esta noche tú te enamora'
Dime de una vez si es que al lado tuyo yo estaré
Todo lo que pida' te daré (Jajaja)
Esta noche tú te enamora'
Si tú quieres nos bañamos
Si tú quieres nos soplamos
Pa' secarnos lo moja'o
Si tu boca quiere beso
Y tu cuerpo quiere de eso, arreglamos
Si tú quieres un atajo y lo quieres por abajo
Yo te llevo bien calla'o
Vente pa'cá, vente pa'cá, vente pa'cá, ah-auh

Vente pa'cá, vente pa'cá, vente pa'cá, ah-auh7Embed"
2,2,Reggaetón Lento (Bailemos),3,2017-01-01,CNCO,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,Argentina,top200,MOVE_DOWN,210943.0,0.761,0.838,4.0,-3.073,0.0,0.0502,0.4,0.0,0.176,0.71,93.974,222560.0,"Reggaetón Lento (Remix) Lyrics

Boy, I can see the way you dance and move that body
I know it's crazy, but I feel like you could be
The one that I've been chasin' in my dreams
Boy, I can see you lookin' at me like you want it
Oh, usually I'm like, ""Whatever,"" but tonight
The way you moving got me where I might

It started when I looked in her eyes
I got close and I'm like, ""¿Bailemos, eh?""
La noche está para un reggaetón lento (Hey)
De esos que no se bailan hace tiempo (Ooh-ooh)
Yo sólo la miré y me gustó
Me pegué y la invité: ""¿Bailemos, eh?""
Tonight we're dancing un reggaetón lento
Just get a little closer, baby, let go
(Just get a little closer, baby, let go, hmm)
Excuse me, baby boy, just had to dance with you now
See, there's nobody in here that comes close to you, no
Your hands are on my waist, my lips you wanna taste
Come muévete, muévete, muévete (Oh, hey!)
Our bodies on fire, we full of desire
If you feel what I feel, throw your hands up higher (Hey!)
And to all the ladies all around the world
Go ahead and muévete, muévete, muévete

It started when I looked in her eyes
I got close and I'm like, ""¿Bailemos, eh?""
La noche está para un reggaetón lento
De esos que no se bailan hace tiempo (Bailan hace tiempo)
Yo sólo la miré y me gustó
Me pegué y la invité: ""¿Bailemos, eh?"" (Me pegué y la invité: ""¿Bailemos?"")
Tonight we're dancing un reggaetón lento (*Un reggaetón lento*)
Just get a little closer, baby, let go

And, girl, you know I like you when you take it to the floor (The floor)
I know you like this reggaetón lento (Lento)
This ain't stopping, baby, 'til I say so
Come get, come get some more, ahh
Oh-woah, boy, I wish that this could last forever
'Cause every second by your side is heaven
Oh, come give me that, give me that boom, boom, boom, oh
I told ya, baby, you, baby, you get me hotter
Loving made me sick, made me sick, you my doctor
Don't you know you're playing with fire tonight?
Can we get it right here one more time? ¿Bailemos, eh?

It started when I looked in her eyes
I got close and I'm like, ""¿Bailemos, eh?""
La noche está para un reggaetón lento (La noche está para un reggaetón lento)
De esos que no se bailan hace tiempo (Bailan hace tiempo)
Yo sólo la miré y me gustó
Me pegué y la invité: ""¿Bailemos, eh?""
Tonight we're dancing un reggaetón lento (*Reggaetón lento*)
Just get a little closer, baby, let go (*Closer, baby, let go*)

Yo sólo la miré y me gustó (Ah-ah-ah-ah-ah)
Me pegué y la invité: ""¿Bailemos, eh?""
La noche está para un reggaetón lento (Ooh)
De esos que no se bailan hace tiempo (Ooh)

It started when I looked in her eyes
I got close and I'm like, ""¿Bailemos, eh?""
Tonight we're dancing un reggaetón lento
Just get a little closer, baby, let go (Oh, oh, oh, oh, oh)
Muévete, muévete, eh, eh, eh (Yeah, yeah)
Báilalo, báilalo
Tonight we're dancing un reggaetón lento (Oh-eh, oh-eh-oh)
Let's get a little closer, slow the tempo, woah (Oh-eh-oh, oh-eh-oh)
Muévete, muévete, eh, eh, eh (Just dance with me now)
Drop it low, drop it low
*Tonight we're dancing un reggaetón lento* (Oh-eh, oh-eh-oh)
*Just get a little closer, baby, let's go, oh* (Oh-eh-oh, oh-eh-oh)55Embed"
3,3,Safari,4,2017-01-01,"J Balvin, Pharrell Williams, BIA, Sky",https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,Argentina,top200,SAME_POSITION,173865.0,0.508,0.687,0.0,-4.361,1.0,0.326,0.551,3.41e-06,0.126,0.555,180.044,205600.0,"Safari Lyrics

A ella le gus—
A ella le gus—
A ella le gus—
A ella le gusta (Leggo')
A mí me gusta (Bebé)
A ella le gusta (Así, bebé)
Bailar me gusta (Baila pa' mí)
A ella le gusta

Mami, mami, con tu body
A mí me gusta
Este party es un safari
A ella le gusta
Todos miran cómo bailas
A mí me gusta
Hoy tú andas con un animal
A ella le gusta
Mami, mami, con tu body
A mí me gusta
Este party es un safari
A ella le gusta
Todos miran cómo bailas
A mí me gusta
Hoy tú andas, baila pa' mí
A ella le gusta
Vente conmigo
A mí me gusta
Sólo conmigo
A ella le gusta
Vente conmigo
A mí me gusta
A solas conmigo
A ella le gusta
Vente conmigo
A mí me gusta
A solas conmigo
A ella le gusta
Vente conmigo
A mí me gusta
A solas conmigo

Todo ese cuerpo que tú tienes me vuelve loco
Y más cuando bailas pa' mí
Esa mirada provoca y tú toda loca
Te muerdes los labios cuando suena el beat

Oye, papi, vamos con mis amigas para el party
Tengo algo por un animal
Cuando mi gente está aquí, hay tsunami
Wavy, así es lo que me gusta
You know I like it when tú fresco
Me llamo princesa
Voy a coger provecho
Porque me gusta
You know I like it when tú fresco
Me llamo princesa
Voy a coger provecho
A ella le gusta (Leggo')
A mí me gusta (Bebé)
Así le gusta (Así, bebé)
Bailar me gusta (Baila pa mí)
A ella le gusta

Mami, mami, con tu body
A mí me gusta
Este party es un safari
A ella le gusta
Todos miran cómo bailas
A mí me gusta
Hoy tu andas con un animal
A ella le gusta
Mami, mami, con tu body
A mí me gusta
Este party es un safari
A ella le gusta
Todos miran cómo bailas
A mí me gusta
Hoy tu andas, baila pa mí
A ella le gusta

Vente conmigo
A mí me gusta
Sólo conmigo
A ella le gusta
Vente conmigo
A mí me gusta
A solas conmigo
A ella le gusta
Vente conmigo
A mí me gusta
A solas conmigo
A ella le gusta
Vente conmigo
A mí me gusta
A solas conmigo
Saca la fiera que llevas ahí
Ese instinto salvaje que me gusta
Cuando se pone de espaldas y empiezo a mirarla
La tela me arranca y seguimos así

Oye, papi, vamos con mis amigas para el party
Tengo algo por un animal
Cuando mi gente está aquí, hay tsunami
Wavy, así es lo que me gusta
You know I like it when tú fresco
Me llamo princesa
Voy a coger provecho
Lo que me gusta
You know I like it when tú fresco
Me llamo princesa
Voy a coger provecho

A ella le gusta (Leggo')
A mí me gusta (Bebé)
A ella le gusta (Así, bebé)
Bailar me gusta (Baila pa mí)
A ella le gusta
A mí me gusta
A ella le gusta
A mí me gusta9Embed"
4,4,Shaky Shaky,5,2017-01-01,Daddy Yankee,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,Argentina,top200,MOVE_UP,153956.0,0.899,0.626,6.0,-4.228,0.0,0.292,0.076,0.0,0.0631,0.873,88.007,234320.0,"Shaky Shaky Lyrics

'Tamo en vivo
Sube, sube, sube el mic, mic
Que vamo', que vamo'
Que vamo' pa' la jodedera full, baby

Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Cómo e', dame una vueltita otra vez
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Tú la ve', como hace lo suyo, tú la ve'
La zona destroza, que esto e' otra cosa
Esto e' pa' to'as las beba' que se ponen rabiosa'
Están peligrosa', con la curva nitrosa
Se cae la casa cuando ella rompe la loza

Terremoto (¡Terremoto!)
Terremoto (¡Terremoto!)
Terremoto (¡Terremoto!)
Terremoto, dale duro
Terremoto (¡Terremoto!)
Terremoto (¡Terremoto!)
Terremoto (¡Terremoto!)
Terremoto, dale duro

Te pone' bien loca, cuando a ti te toca
To'a la sandunga en ese bumper te choca, choca
Tú no baila' como yo, tú no baila' como yo
Mucho piquete, mucho flow, flow lo matamos con el

Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Cómo e', dame una vueltita otra vez
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Tú la ve', como hace lo suyo, tú la ve'
La' botella' arriba, el combo en la mesa (Ajá)
Y salen fiera' por naturaleza (Ajá)
Vamo' a ver to'as la' chapi' en candela
Hay que llevarla' pa' la vieja escuela
Ahí es que va apretá'
Echa todo eso pa' acá
La' nalga' para atrá'
Y tra, tra, tra, tra
Ahí es que va apretá'
Echa todo eso pa' acá
La' nalga' para atrá'
Y tra, tra, tra, tra

Con todo y jean sitea el dutty, cuando le rozo el booty
Le tiro sustancia má' caliente que el churi'
Ella es otro level, cuando me lo mueve
Son par de rafagazos sin llevar una nueve
Se explota como un peine, yo exploto como un largo
Me deben la pista y su cintura la embargo
Le gusta la pesca, porque e' una fresca
Si está pa'l bailoteo, que se coma este pargo

Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Cómo e', dame una vueltita otra vez
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Tú la ve', tiene una sandunga en eso' pie'
Terremoto (¡Terremoto!)
Terremoto (¡Terremoto!)
Terremoto (¡Terremoto!)
Terremoto, dale duro
Terremoto (¡Terremoto!)
Terremoto (¡Terremoto!)
Terremoto, fuimo'

Que mueva to' lo que tiene
Que mueva to' lo que tiene
Que mueva to' lo que tiene
Vamo' a ver como lo sostiene
Que mueva to' lo que tiene
Que mueva to' lo que tiene
Que mueva to' lo que tiene
Vamo' a ver como lo sostiene con el

Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Cómo e', dame una vueltita otra vez
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Shaky, shaky, shaky, shaky, shaky, shaky, shaky
Tú la ve', como ella te vira al revés

Ay, en la zona e' (Ajá)
El Daddy Yankee, el rey del micro'
En la impro', como me filtro por esos gistro', ja
DJ Urba
Vamo' pa' la, vamo'-vamo' pa' la, vamo' pa' la rumba
Oye, Rome
Que pa' esta liga no se asomen, jaja
One take
E-E-Evo Jedis4Embed"
5,5,Traicionera,6,2017-01-01,Sebastian Yatra,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,Argentina,top200,MOVE_DOWN,151140.0,0.776,0.669,11.0,-4.933,1.0,0.0638,0.142,0.0,0.219,0.661,91.012,228467.0,"Traicionera Lyrics

Sebastián Yatra
Yatra, Yatra

Tú me dices que no es cierto que te mueres por mí
Si es verdad que no te gusto no te acerques así
Me dijeron que te encanta que se mueran por ti
Buscando al que se enamora para hacerlo sufrir

Si me dices que me amas no te voy a creer, no
Tú me dices que me quieres y no puedes ser fiel, no
Me dejaste manejando solo y triste mujer, no
Te confieso si lo quieres saber, si lo quieres saber, yeh
Traicionera, no me importa lo que tú me quieras
Mentirosa, sólo quieres que de amor me muera
Traicionera, en mi vida fuiste pasajera
Mentirosa, no me importa que de amor te mueras
Ohh, ohh
Mentirosa, no me importa que de amor te mueras

Sigues bailando reggaeton, ton, ton
Y no te importa para nada lo que sienta el corazón
Solo te importa el pantalón, lon, lon
Y se te nota desde lejos tu maléfica intención
Y mira, no es tan fácil
Enamorarme nunca fue tan fácil
Cuando estás cerca de mí no es fácil
Y es que la vida se volvió difícil
Sólo por ti

Si me dices que me amas no te voy a creer, no
Tú me dices que me quieres y no puedes ser fiel, no
Me dejaste manejando solo y triste mujer, no
Te confieso si lo quieres saber, si lo quieres saber
Traicionera, no me importa lo que tu me quieras
Mentirosa, solo quieres que de amor me muera
Traicionera, en mi vida fuiste pasajera
Mentirosa, no me importa que de amor te mueras
Ohh, ohh
Mentirosa, no me importa que de amor te mueras

Tú me dices que no es cierto que te mueres por mi
Si es verdad que no te gusto no te acerques así

Traicionera, no me importa lo que tú me quieras
Mentirosa, sólo quieres que de amor me muera
Traicionera, en mi vida fuiste pasajera
Mentirosa, no me importa que de amor te mueras
Ohh, ohh
Mentirosa, no me importa que de amor te mueras
Ohh, ohh
Mentirosa, no me importa que de amor te mueras

Sebastian Yatra
Yatra, Yatra2Embed"
6,6,Cuando Se Pone a Bailar,7,2017-01-01,Rombai,https://open.spotify.com/track/1MpKZi1zTXpERKwxmOu1PH,Argentina,top200,MOVE_DOWN,148369.0,0.588,0.682,11.0,-7.169,0.0,0.173,0.0851,2.69e-05,0.084,0.937,205.643,195274.0,"Cuando Se Pone A Bailar Lyrics

No dijo su nombre
Y me pasó mal su celular
Tiene otro hombre
Pero eso a mí me da igual

Si la ves, dile que
La he venido a buscar
Si la ves, la reconocés

Cuando se pone a bailar
Cuando ella toma de más
Cuando se pone a bailar
No hay igual
Vuelve loco a los demás
Ya verás, no hay igual
Acaríciame despacio
Hasta que salga el sol y más
Quiero verte en acción y más
Y es que yo quiero más y más y más
Quiero besos en todos lados
Dejemos que todo fluya
Que termine en un show privado
Entre mi boca y la tuya

Cuando se pone a bailar
Cuando ella toma de más
Cuando se pone a bailar
No hay igual
Vuelve loco a los demás
Ya verás, no hay igual

¡Rombai, de fiesta!

Si la ves, dile que
La he venido a buscar
Si la ves, la reconocés
Cuando se pone a bailar
Cuando ella toma de más
Cuando se pone a bailar
No hay igual
Vuelve loco a los demás
Ya verás, no hay igual

Acaríciame despacio
Hasta que salga el sol y más
Quiero verte en acción y más
Y es que yo quiero más y más y más
Quiero besos en todos lados
Dejemos que todo fluya
Que termine en un show privado
Entre mi boca y la tuya

Cuando se pone a bailar
Cuando ella toma de más
Cuando se pone a bailar
No hay igual
Vuelve loco a los demás
Ya verás, no hay igual
¡Rombai, de fiesta!Embed"
7,7,Otra vez (feat. J Balvin),8,2017-01-01,Zion & Lennox,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,Argentina,top200,MOVE_DOWN,143004.0,0.832,0.772,10.0,-5.429,1.0,0.1,0.0559,0.000486,0.44,0.704,96.016,209453.0,"Otra Vez Lyrics

(El sólo verte me dan ganas, eh)
(Precisamente en Cartagena; eh-eh, ay)
Infinity
Después de tanto me buscas
¿Por qué será?
¿Por qué a mi?, yeah
No te puedes ir sin contestar esa pregunta
¿Qué es lo que quieres?
¿Qué necesidad es la que tienes?

Para seducirme otra vez
Besarme otra vez
Volverme a poner el mundo al revés
Pa' besarte como ayer
Sentirte otra vez
Me vuelves a poner el mundo al revés, como ayer, yeah
(La ""Z"" y la ""L"")
El sólo verte me dan ganas
De viajar al pasado y rescatar (Brrr; yeah)
Esos momentos que tú y yo compartimos (Sup, sup, sup)
Las ganas de rumbear
Eran noches de nunca terminar (Ay)
Vivíamos en una fantasía, pero era real (De verdad)

Lo que sentimos (Mamacita; lo que sentimos)
Lo que hicimos (Toma; lo que hicimos)
No e' casualidad que nos viéramos en la misma disco (Ah)
Aprovechemos que nos vimos (Ajá)
Lo que sentimos (Mamacita; lo que sentimos)
Lo que hicimos (Ah, ah)
No e' casualidad que nos viéramos en la misma disco
Dale mami, que nos fuimos

Para seducirme otra vez
Besarme otra vez
Volverme a poner el mundo al revés
Pa' besarte como ayer
Sentirte otra vez
Me vuelves a poner el mundo al revés, como ayer (J Balvin, man)
Hoy vuelve a aparecer bajo la luna llena, sirena
Precisamente en Cartagena
Déjame revivir esto, es un placer
Ba-Ba-Baila que la noche es tuya, que el ritmo intuya
Pónle picante, que el amor fluya
Nos dimos cuenta que no había un final
Esto no tiene porque terminar (Ouh, ouh; de verdad)

Lo que sentimos (Mamacita)
Lo que hicimos (Toma que toma)
No es casualidad que nos viéramos en la misma disco
Aprovechemos que nos vimos (Ajá)
Lo que sentimos (Mamacita)
Lo que hicimos (Ah, ah)
No es casualidad que nos viéramos en la misma disco
Dale mami, que nos fuimos

Para seducirme otra vez
Besarme otra vez
Volverme a poner el mundo al revés
Pa' besarte como ayer
Sentirte otra vez
Me vuelves a poner el mundo al revés, como ayer, yeah
Chq-chq-chq-chq-chq-chq
Z Diddy
J Balvin, man
Zion, baby
La ""Z"" y la ""L""
Y Lennox
Leggo'
J Balvin
Sky Rompiendo El Bajo
Mo-Mo-Mosty
Bull Nene
Infinity
Leggo'
Infinity Music (Para seducirme otra vez)
Baby Records (Besarme otra vez)
(Volverme a poner el mundo al revés, como ayer, yeh)
La ""Z"" y la ""L""15Embed"
8,8,La Bicicleta,9,2017-01-01,"Carlos Vives, Shakira",https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,Argentina,top200,MOVE_UP,126389.0,0.736,0.964,0.0,-2.147,1.0,0.129,0.198,2.32e-06,0.336,0.953,179.935,227707.0,"La Bicicleta Lyrics

Nada voy a hacer
Rebuscando en las heridas del pasado
No voy a perder
Yo no quiero ser un tipo de otro lado

A tu manera, descomplicado
En una bici que te lleve a todos lados
Un vallenato desesperado

Una cartica que yo guardo donde te escribí
Que te sueño y que te quiero tanto
Que hace rato esta mi corazón latiendo por ti, latiendo por ti
La que yo guardo donde te escribí
Que te sueño y que te quiero tanto
Que hace rato está mi corazón latiendo por ti, latiendo por ti
Puedo ser feliz
Caminando relajada entre la gente
Yo te quiero así
Y me gustas porque eres diferente

A mi manera, despelucado
En una bici que me lleva a todos lados
Un vallenato desesperado

Una cartica que yo guardo donde te escribí
Que te sueño y que te quiero tanto
Que hace rato está mi corazón latiendo por ti, latiendo por ti
La que yo guardo donde te escribí
Que te sueño y que te quiero tanto
Que hace rato está mi corazón latiendo por ti, latiendo por ti

Ella es la favorita, la que canta la zona
Se mueve sus caderas como un barco en las olas
Tiene los pies descalzos como un niño que adora
Y su cabello largo son un sol que te antoja
Le gusta que le digan que la niña, la lola
Le gusta que la miren cuando ella baila sola
Le gusta más la casa que no pasen las horas
Le gusta Barranquilla, le gusta Barcelona
Lleva, llévame en tu bicicleta
Óyeme, Carlos, llévame en tu bicicleta
Quiero que recorramos juntos esa Zona
Desde Santa Marta hasta La Arenosa
Lleva, llévame en tu bicicleta
Pa' que juguemos bola e'trapo allá chancleta
Que si a Pique algún día le muestras el Tayrona
Después no querrá irse pa' Barcelona
A mi manera, descomplicado
En una bici que me lleva a todos lados
Un vallenato desesperado

Una cartica que yo guardo donde te escribí
Que te sueño y que te quiero tanto
De hace rato está mi corazón latiendo por ti, latiendo por ti
La que yo guardo donde te escribí
Que te sueño y que te quiero tanto
Que hace rato está mi corazón latiendo por ti, latiendo por ti

Lleva, llévame en tu bicicleta
Óyeme, Carlos, llévame en tu bicicleta
Que si a Pique algún día le muestras el Tayrona
Después no querrá irse pa' Barcelona
Lleva, llévame en tu bicicleta
Óyeme, Carlos, llévame en tu bicicleta
Que si a mi Piqué tú le muestres el Tayrona
Después no querrá irse pa' Barcelona8Embed"
9,9,Dile Que Tu Me Quieres,10,2017-01-01,Ozuna,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,Argentina,top200,MOVE_DOWN,112012.0,0.721,0.687,1.0,-6.682,1.0,0.0782,0.0998,0.0,0.0679,0.825,175.914,226400.0,"Dile Que Tú Me Quieres Lyrics

Yo sé que tus padre' no te quieren conmigo
No sé si será por mis tatuaje' o la forma en que yo vivo

Dile' que tú me quiere'
Que no le haga caso a lo que le digan
Nos vivimo' enamorando día a día
Dile' que yo soy el que te quiere
Explícale' lo que sucedió
Entre tú y yo, la llama se encendió
No sé cómo pasó
Dile' que tú me quiere' (Que tú me quiere', ma')
Que no le haga caso a lo que le digan
Nos vivimo' enamorando día a día
Vida mía (Ozuna)
Ya no quiero ocultarlo, quiero tenerte cerca
Hablo con tu madre, aunque sé que es difícil de convencerla (Convencerla)
Que no se deje llevar por las apariencia'
Porque mi corazón siempre te trata con decencia
Tú más que nadie sabe' cómo yo soy contigo
No importa mi estilo de vida, tú me quieres así (Ma')
Tú más que nadie sabe' cómo yo soy contigo
No importa mi estilo de vida, tú me quieres así

Dile' que tú me quiere'
Que no le haga caso a lo que le digan
Nos vivimo' enamorando día a día (Woh, oh-oh)
Dile' que yo soy el que te quiere
Explícale' lo que sucedió
Entre tú y yo, la llama se encendió
No sé cómo pasó
Dile' que tú me quiere' (Que tú me quiere', ma')
Que no le haga caso a lo que le digan
Nos vivimo' enamorando día a día
Vida mía

Siempre que estamo' junto', se hace bueno el momento
No me quieren contigo porque nadie sabe lo que por ti siento
Como soy de calle, dicen que yo no soy fiel
Ya te he demostra'o que mis ojo' son pa' ti, mujer
No soportan que nos vaya bien
Amigas comentan cuando nos ven felice'
Vete y dile' que yo te trato bien
Que le están mintiendo con lo que de mí le dicen
No soportan que nos vaya bien
Amigas comentan cuando nos ven felice'
Vete y dile' que yo te trato bien (Oh-oh-oh)
Y que le están mintiendo con lo que de mí le dicen

Dile' que tú me quiere' (Que me quiere')
Que no le haga caso a lo que le digan
Nos vivimo' enamorando día a día (Baby)
Dile' que yo soy el que te quiere
Explícale' lo que sucedió
Entre tú y yo, la llama se encendió
No sé cómo pasó
Dile' que tú me quiere'
Que no le haga caso a lo que le digan
Nos vivimo' enamorando día a día
Vida mía

Baby, jeje
Dicen que (Woh-oh-oh)
Los mejore' sentimiento' vienen (Woh-oh-oh)
De quien tiene corazón de piedra (Jaja)
El Negrito Ojos Claro'
Ozuna
Hi Music Hi Flow
Hi Music Hi Flow, jaja
Bless ""The Producer""
Dímelo Vi (Woh-oh-oh)
Odisea (Woh-oh-oh)
Uoh, oh-oh (The album)
Baby6Embed"
